PII,country,points,price
0,US,96,235.0
1,Spain,96,110.0
2,US,96,90.0
3,US,96,65.0
4,France,95,66.0
5,Spain,95,73.0
6,Spain,95,65.0
7,Spain,95,110.0
8,US,95,65.0
9,US,95,60.0
10,Italy,95,80.0
11,US,95,48.0
12,US,95,48.0
13,France,95,90.0
14,US,95,185.0
15,US,95,90.0
16,US,95,325.0
17,Spain,95,80.0
18,France,95,290.0
19,US,95,75.0
20,US,95,24.0
21,Spain,95,79.0
22,Spain,95,220.0
23,US,95,60.0
24,US,95,45.0
25,New Zealand,94,57.0
26,US,94,62.0
27,US,94,105.0
28,US,94,60.0
29,US,94,60.0
30,Bulgaria,90,15.0
31,US,90,37.0
32,Italy,90,
33,France,90,22.0
34,US,90,42.0
35,Italy,90,135.0
36,France,90,60.0
37,Italy,90,29.0
38,Italy,90,23.0
39,Italy,90,29.0
40,Spain,90,17.0
41,Spain,90,26.0
42,US,90,55.0
43,Italy,90,39.0
44,France,90,69.0
45,Italy,90,30.0
46,Italy,90,90.0
47,US,90,60.0
48,Italy,90,50.0
49,US,90,40.0
50,Italy,90,100.0
51,France,90,68.0
52,France,90,42.0
53,France,90,28.0
54,US,90,18.0
55,US,90,69.0
56,France,90,
57,US,90,25.0
58,US,90,30.0
59,Italy,90,60.0
60,Argentina,91,30.0
61,Australia,91,36.0
62,Argentina,91,25.0
63,France,91,45.0
64,Portugal,91,23.0
65,US,91,36.0
66,France,91,38.0
67,US,91,85.0
68,US,91,50.0
69,US,91,60.0
70,US,91,85.0
71,US,91,45.0
72,Italy,91,
73,US,91,19.0
74,Portugal,91,15.0
75,US,91,54.0
76,France,91,85.0
77,US,91,38.0
78,US,91,28.0
79,Italy,91,75.0
80,US,91,42.0
81,Israel,91,25.0
82,Italy,91,
83,Italy,91,59.0
84,Italy,91,85.0
85,Italy,91,80.0
86,France,91,45.0
87,US,91,22.0
88,US,91,65.0
89,US,91,50.0
90,US,86,10.0
91,Portugal,86,12.0
92,Italy,86,22.0
93,US,86,13.0
94,Portugal,86,10.0
95,France,86,14.0
96,US,86,18.0
97,US,86,36.0
98,France,86,15.0
99,France,86,10.0
100,US,86,24.0
101,US,86,50.0
102,Italy,86,45.0
103,US,86,48.0
104,US,86,20.0
105,US,86,17.0
106,US,86,12.0
107,US,86,10.0
108,US,86,13.0
109,US,86,45.0
110,Portugal,86,12.0
111,Argentina,86,12.0
112,US,86,125.0
113,US,86,25.0
114,South Africa,86,20.0
115,Argentina,86,15.0
116,Spain,86,
117,France,86,20.0
118,France,86,15.0
119,Portugal,86,7.0
120,US,91,59.0
121,US,91,49.0
122,US,91,42.0
123,US,91,93.0
124,US,91,32.0
125,US,91,20.0
126,US,90,100.0
127,US,90,50.0
128,Spain,90,22.0
129,Italy,90,45.0
130,Italy,90,18.0
131,US,90,45.0
132,US,90,26.0
133,US,90,16.0
134,US,90,30.0
135,US,90,42.0
136,US,90,38.0
137,US,90,48.0
138,Spain,90,17.0
139,France,90,18.0
140,France,90,15.0
141,US,90,28.0
142,US,90,25.0
143,US,90,26.0
144,US,90,24.0
145,US,90,55.0
146,US,90,36.0
147,Spain,90,17.0
148,US,90,40.0
149,US,90,28.0
150,US,89,50.0
151,Greece,89,24.0
152,Spain,89,17.0
153,Greece,89,21.0
154,Greece,89,18.0
155,Chile,89,20.0
156,France,89,20.0
157,US,89,24.0
158,Spain,89,44.0
159,Chile,89,19.0
160,US,89,42.0
161,US,89,35.0
162,Spain,89,44.0
163,US,89,16.0
164,US,89,23.0
165,US,89,36.0
166,Italy,89,25.0
167,Italy,89,22.0
168,Portugal,89,20.0
169,US,89,25.0
170,US,89,42.0
171,Chile,89,30.0
172,Greece,89,17.0
173,US,89,49.0
174,France,89,16.0
175,Spain,89,30.0
176,Italy,89,40.0
177,Italy,89,57.0
178,US,89,29.0
179,Chile,89,61.0
180,US,88,25.0
181,US,88,25.0
182,US,88,49.0
183,US,88,20.0
184,Argentina,88,26.0
185,US,88,34.0
186,US,88,38.0
187,US,88,38.0
188,Spain,88,25.0
189,Spain,87,22.0
190,Argentina,87,15.0
191,France,87,20.0
192,France,87,25.0
193,France,87,20.0
194,France,87,20.0
195,France,87,25.0
196,US,87,10.0
197,US,87,18.0
198,US,87,18.0
199,US,87,14.0
200,US,87,14.0
201,US,87,40.0
202,France,87,18.0
203,France,87,20.0
204,US,87,10.0
205,US,87,11.0
206,US,87,36.0
207,US,87,20.0
208,US,87,32.0
209,Spain,87,18.0
210,Portugal,93,55.0
211,Italy,93,49.0
212,US,93,50.0
213,Italy,93,58.0
214,France,93,39.0
215,France,93,65.0
216,Morocco,93,35.0
217,Italy,93,80.0
218,France,93,42.0
219,France,93,61.0
220,US,93,58.0
221,US,93,38.0
222,France,93,48.0
223,US,93,50.0
224,Italy,93,58.0
225,France,93,120.0
226,US,93,50.0
227,US,93,80.0
228,US,93,40.0
229,Portugal,93,41.0
230,US,93,48.0
231,US,93,200.0
232,US,93,39.0
233,US,93,62.0
234,Italy,93,43.0
235,France,92,35.0
236,France,92,48.0
237,France,92,55.0
238,Portugal,92,40.0
239,Italy,92,69.0
240,France,88,16.0
241,France,88,16.0
242,France,88,
243,France,88,15.0
244,France,88,13.0
245,US,88,28.0
246,US,88,36.0
247,Romania,88,9.0
248,US,88,24.0
249,US,88,30.0
250,US,88,25.0
251,Italy,88,34.0
252,US,88,60.0
253,US,88,54.0
254,US,88,15.0
255,Italy,88,56.0
256,US,88,20.0
257,US,88,61.0
258,Italy,88,46.0
259,Spain,88,30.0
260,Spain,88,17.0
261,France,88,
262,US,88,40.0
263,US,88,39.0
264,Italy,88,49.0
265,France,88,23.0
266,US,88,16.0
267,US,88,32.0
268,US,88,18.0
269,Argentina,88,15.0
270,France,92,92.0
271,France,92,94.0
272,US,92,58.0
273,US,92,50.0
274,US,92,48.0
275,US,92,32.0
276,Italy,92,27.0
277,Portugal,92,35.0
278,Portugal,92,95.0
279,US,92,43.0
280,Italy,92,33.0
281,Italy,92,60.0
282,France,92,
283,France,92,30.0
284,US,92,100.0
285,US,92,35.0
286,France,91,60.0
287,France,91,16.0
288,France,91,40.0
289,US,91,60.0
290,France,91,100.0
291,Portugal,91,18.0
292,US,91,16.0
293,US,91,42.0
294,France,91,
295,US,91,20.0
296,Italy,91,25.0
297,Italy,91,23.0
298,US,91,38.0
299,US,91,32.0
300,US,94,60.0
301,US,94,30.0
302,Italy,94,85.0
303,US,94,30.0
304,US,94,65.0
305,New Zealand,94,57.0
306,US,94,90.0
307,US,94,85.0
308,US,94,70.0
309,US,94,70.0
310,US,94,60.0
311,Italy,94,38.0
312,Italy,94,29.0
313,US,94,155.0
314,US,94,48.0
315,US,94,95.0
316,US,94,80.0
317,US,94,49.0
318,France,94,35.0
319,US,94,50.0
320,France,94,44.0
321,Spain,94,68.0
322,France,94,20.0
323,Spain,94,
324,US,94,95.0
325,France,94,44.0
326,Argentina,94,50.0
327,France,94,100.0
328,France,94,70.0
329,US,94,63.0
330,Italy,91,75.0
331,Germany,91,23.0
332,US,91,50.0
333,Spain,91,22.0
334,US,91,45.0
335,Portugal,91,130.0
336,US,91,38.0
337,US,91,30.0
338,US,91,22.0
339,Italy,91,
340,Italy,91,90.0
341,US,91,60.0
