PII,country,designation
0,US,Martha's Vineyard
1,Spain,Carodorum Selección Especial Reserva
2,US,Special Selected Late Harvest
3,US,Reserve
4,France,La Brûlade
5,Spain,Numanthia
6,Spain,San Román
7,Spain,Carodorum Único Crianza
8,US,Silice
9,US,Gap's Crown Vineyard
10,Italy,Ronco della Chiesa
11,US,Estate Vineyard Wadensvil Block
12,US,Weber Vineyard
13,France,Château Montus Prestige
14,US,Grace Vineyard
15,US,Sigrid
16,US,Rainin Vineyard
17,Spain,6 Años Reserva Premium
18,France,Le Pigeonnier
19,US,Gap's Crown Vineyard
20,US,Grignolino
21,Spain,Prado Enea Gran Reserva
22,Spain,Termanthia
23,US,Giallo Solare
24,US,R-Bar-R Ranch
25,New Zealand,Maté's Vineyard
26,US,Shea Vineyard
27,US,Abetina
28,US,Garys' Vineyard
29,US,The Funk Estate
30,Bulgaria,Bergulé
31,US,Babushka
32,Italy,Vigna Piaggia
33,France,Nonpareil Trésor Rosé Brut
34,US,Conner Lee Vineyard
35,Italy,Riserva
36,France,
37,Italy,
38,Italy,
39,Italy,Riserva
40,Spain,Amandi
41,Spain,Alfonso Oloroso Seco
42,US,Private Reserve
43,Italy,Riserva
44,France,Coteaux
45,Italy,Vigneto Odoardo Beccari Riserva
46,Italy,Poggio alle Mura
47,US,Estate Grown
48,Italy,
49,US,
50,Italy,Riserva
51,France,
52,France,Les 7 Hommes
53,France,L'Inédit
54,US,
55,US,Four Flags
56,France,Le Pavé
57,US,Reserve
58,US,Final Final
59,Italy,Poggio Bestiale
60,Argentina,The Apple Doesn't Fall Far From The Tree
61,Australia,
62,Argentina,Alegoría Gran Reserva
63,France,L'Homme Mort Premier Cru
64,Portugal,
65,US,Estate Select
66,France,Fourchaume Premier Cru
67,US,Animo
68,US,Schindler Vineyard
69,US,Barrel Select
70,US,District Collection
71,US,
72,Italy,Bussia Riserva
73,US,
74,Portugal,Premium
75,US,Premier Cuvée
76,France,Le Nombre d'Or Brut Nature
77,US,Juliana Vineyard
78,US,
79,Italy,Boscato
80,US,Aeolian
81,Israel,Reserve
82,Italy,Palliano Riserva
83,Italy,del Comune di Serralunga d'Alba
84,Italy,Bricco Luciani
85,Italy,Bricco Gattera
86,France,Montmains Premier Cru
87,US,
88,US,Bacigalupi Vineyard
89,US,Magnificat
90,US,
91,Portugal,Marquês de Marialva Rosé Bruto
92,Italy,Nature
93,US,Small Lot Blend
94,Portugal,Muros de Vinha
95,France,Château Beauvillain-Monpezat
96,US,
97,US,
98,France,Pigmentum
99,France,Pigmentum
100,US,
101,US,Stephanie
102,Italy,
103,US,Bella's Blend
104,US,Tears of Dew Late Harvest
